org,N,x,y,z,stops,indels,type,assembly
B. pertussis,384,134,92,158,2,24,popn,denovo
B. pertussis,117,54,48,15,,43,popn,ref
B. pertussis,22,8,4,6,,,popn,ref
B. pertussis,205,82,54,27,,14,popn,ref
B. pertussis,252,100,67,30,2,17,popn,ref
B. pertussis,268,98,69,44,,22,popn,ref
B. pertussis,266,105,70,40,1,16,popn,ref
B. pertussis,279,100,75,44,2,29,popn,ref
B. pertussis,286,105,78,43,3,21,popn,ref
B. pertussis,696,307,218,171,,,popn,ref
E. coli,51,20,20,11,,,popn,denovo
E. coli,126,10,81,35,,,popn,denovo
E. coli,109,30,52,27,,,popn,denovo
E. coli,3313,1712,1083,516,50,,popn,ref
E. coli,89,51,24,14,,,popn,ref
E. coli,131,84,22,25,,,popn,ref
E. coli,170,100,43,27,,,popn,ref
E. coli,227,128,62,37,,,popn,ref
E. coli,393,138,238,17,,,popn,ref
E. coli,508,179,289,40,,,popn,ref
E. coli,516,185,273,58,,,popn,ref
E. coli,526,188,301,37,,,popn,ref
E. coli,539,190,305,44,,,popn,ref
E. coli,1481,602,690,189,,,popn,ref
E. coli,1527,631,707,189,,,popn,ref
E. coli,1595,649,733,213,,,popn,ref
E. coli,2473,1093,1070,310,,,popn,ref
M. tuberculosis,133,36,75,18,4,,popn,denovo
M. tuberculosis,55,24,17,14,,,popn,denovo
M. tuberculosis,221,123,69,28,5,,popn,denovo
M. tuberculosis,1242,674,406,162,,,popn,ref
M. tuberculosis,133,59,58,16,,,popn,ref
M. tuberculosis,270,157,82,31,,,popn,ref
M. tuberculosis,317,170,103,44,,,popn,ref
M. tuberculosis,1260,699,405,156,,,popn,ref
M. tuberculosis,136,71,50,15,,,popn,ref
M. tuberculosis,261,148,85,28,,,popn,ref
M. tuberculosis,377,204,156,,,17,popn,ref
M. tuberculosis,2699,829,615,,,1255,popn,ref
M. tuberculosis,674,296,330,,,48,popn,ref
M. tuberculosis,1465,829,615,,,21,popn,ref
M. tuberculosis,1777,1096,681,,,,popn,ref
M. tuberculosis,784,460,324,,,,popn,ref
M. tuberculosis,743,437,306,,,,popn,ref
M. tuberculosis,762,455,307,,,,popn,ref
M. tuberculosis,1242,753,489,,,,popn,ref
M. tuberculosis,1127,682,445,,,,popn,ref
M. tuberculosis,11,9,1,1,,,popn,denovo
M. tuberculosis,20,16,2,2,,,popn,denovo
M. tuberculosis,15,8,4,2,1,,popn,denovo
P. aeruginosa,44,28,16,11,,3,popn,ref
P. aeruginosa,106,65,41,34,,2,popn,ref
P. aeruginosa,39,16,13,9,1,,popn,ref
P. aeruginosa,92,41,31,18,2,,popn,denovo
P. aeruginosa,47,18,14,14,1,,popn,denovo
P. aeruginosa,60,35,16,9,,,popn,denovo
P. aeruginosa,72,47,16,9,,14,popn,ref
P. aeruginosa,59,37,13,9,,7,popn,ref
P. aeruginosa,123,70,33,20,,14,popn,ref
P. aeruginosa,95,56,21,18,,14,popn,ref
P. aeruginosa,122,72,25,25,,11,popn,ref
P. aeruginosa,146,84,32,30,,10,popn,ref
P. aeruginosa,102,60,26,16,,14,popn,ref
S. typhimurium,250,111,82,41,6,10,popn,denovo
S. typhimurium,953,467,224,262,,,popn,denovo
S. typhimurium,114,49,36,28,1,,popn,ref
S. typhimurium,31,15,6,6,,4,popn,denovo
S. typhimurium,607,265,254,88,,50,popn,ref
S. typhimurium,571,250,217,104,,55,popn,ref
S. typhimurium,107,68,27,12,,38,popn,ref
S. typhimurium,785,345,301,139,,68,popn,ref
S. typhimurium,902,492,277,133,,60,popn,ref
S. typhimurium,625,272,209,144,,69,popn,ref
S. typhimurium,658,301,250,107,,56,popn,ref
S. typhimurium,650,297,216,137,,66,popn,ref
S. typhimurium,831,373,309,149,,73,popn,ref
S. typhimurium,92,59,21,12,,36,popn,ref
S. typhimurium,817,324,297,196,,50,popn,ref
S. typhimurium,720,321,283,116,,60,popn,ref
S. typhimurium,848,360,340,148,,69,popn,ref
S. typhimurium,562,270,209,83,,55,popn,ref
S. typhimurium,658,289,270,99,,46,popn,ref
S. typhimurium,590,280,190,120,,55,popn,ref
S. typhimurium,607,287,210,110,,48,popn,ref
S. typhimurium,357,162,112,83,,51,popn,ref
S. typhimurium,812,358,312,142,,68,popn,ref
S. typhimurium,760,335,297,128,,60,popn,ref
S. typhimurium,866,347,372,147,,62,popn,ref
S. typhimurium,638,301,211,126,,66,popn,ref
S. typhimurium,898,436,289,173,,95,popn,ref
S. typhimurium,750,303,322,125,,72,popn,ref
S. typhimurium,455,228,141,86,,56,popn,ref
S. typhimurium,544,248,201,95,,63,popn,ref
S. typhimurium,631,272,258,101,,61,popn,ref
S. typhimurium,11250,1831,8183,1236,,89,popn,ref
S. typhimurium,627,292,201,134,,58,popn,ref
S. typhimurium,706,308,232,166,,72,popn,ref
S. typhimurium,10219,1166,7465,1588,,72,popn,ref
S. typhimurium,629,265,212,152,,64,popn,ref
S. typhimurium,721,309,242,170,,68,popn,ref
S. typhimurium,638,266,215,157,,56,popn,ref
S. typhimurium,720,320,235,165,,66,popn,ref
S. typhimurium,863,431,275,157,,92,popn,ref
S. typhimurium,580,283,200,97,,61,popn,ref
S. typhimurium,789,350,297,142,,70,popn,ref
S. typhimurium,615,261,232,108,,14,popn,reference
S. typhimurium,532,224,200,95,,13,popn,reference
S. typhimurium,664,311,216,123,,14,popn,reference
S. typhimurium,542,250,200,84,,8,popn,reference
M. tuberculosis,35,29,5,1,,,serial,denovo
M. tuberculosis,17,4,1,8,,4,serial,denovo
M. tuberculosis,15,6,6,3,,,serial,denovo
M. tuberculosis,148,76,26,16,2,28,serial,reference
M. tuberculosis,518,287,162,69,,,serial,reference
M. tuberculosis,19,15,2,2,,,serial,denovo
M. tuberculosis,67,45,20,2,,,serial,reference
P. aeruginosa,166,38,75,47,,6,serial,denovo
P. aeruginosa,68,33,8,8,,19,serial,denovo
P. aeruginosa,107,73,25,9,,58,serial,denovo
P. aeruginosa,45,20,13,4,3,5,serial,denovo
P. aeruginosa,14,9,3,2,,,serial,denovo
P. aeruginosa,51,24,12,5,,10,serial,reference
P. aeruginosa,155,81,53,15,6,,serial,reference
S. typhimurium,28,10,15,2,1,,serial,denovo
S. typhimurium,29,18,3,6,2,,serial,denovo
B. pertussis,592,244,133,215,,81,popn,
B. pertussis,625,312,153,160,,,popn,
B. pertussis,1164,649,334,163,18,,popn,
P. aeruginosa,257,104,53,29,7,64,serial,
P. aeruginosa,67,17,5,15,1,29,serial,
P. aeruginosa,104,25,11,10,2,56,serial,
P. aeruginosa,574,120,380,73,,1,popn,
M. tuberculosis,2202,1209,754,239,,,popn,
,,,,,,,,